DATA_INIZIO_PUBBLICAZIONE|DATA_FINE_PUBBLICAZIONE|NUMERO|ANNO|OGGETTO|MITTENTE|TIPOLOGIA_ATTO_ORIGINALE|NUMERO_ATTO_ORIGINALE|DATA_ATTO_ORIGINALE
13/11/2024|13/11/2025|2585|2024|AVVISO DI NOTIFICAZIONE PER PUBBLICI PROCLAMI AUTORIZZATA DALL’ORDINANZA N. 19038/2024 EMESSA DAL TRIBUNALE AMMINISTRATIVO REGIONALE DEL LAZIO RELATIVA AL GRAVAME NEI CONFRONTI DI TUTTI I CANDIDATI ALLE ELEZIONI PER IL RINNOVO DEL CONSIGLIO COMUNALE DI MONTEROTONDO (RM) TENUTESI NEI GIORNI 8 E 9 GIUGNO 2024, NONCHÉ NEI CONFRONTI DEI CITTADINI SOTTOSCRITTORI DELLE RELATIVE LISTE ELETTORALI.|SERVIZIO SUPPORTO ORGANI ISTITUZIONALI, AFFARI LEGALI E SANITA'|AVVISI||
15/01/2025|15/04/2025|99|2025|PUBBLICAZIONE ALBO PRETORIO - VARIANTE PIANO PARTICOLAREGGIATO "SCALO"|SERVIZIO URBANISTICA, PIANIFICAZIONE E AMBIENTE|COMUNICAZIONI||
12/03/2025|01/04/2025|601|2025|NOT.ART. 143 C.P.C. SAMSON CRISTIAN VASILE|ufficio.contravvenzioni@pec.guidonia.org|COMUNICAZIONI||
12/03/2025|11/04/2025|602|2025|PUBBLICAZIONE ALBO PRETORIO AGGIUNTA DI COGNOME|prefetto provincia roma|COMUNICAZIONI||
12/03/2025|10/06/2025|609|2025|RICORSO PER USOCAPIONE|vollera fausto ufficiale giudiziario|COMUNICAZIONI||
13/03/2025|02/04/2025|615|2025|NOT.ART. 143 C.P.C. POPA NELU|notificapolizialocale@pec.unionepratiarcati.it|COMUNICAZIONI||
13/03/2025|02/04/2025|616|2025|NOT.ART. 143 C.P.C. SCINTU MASSIMILIANO|polizia roma capitale|COMUNICAZIONI||
17/03/2025|01/04/2025|659|2025|DETERMINA N.247 DEL 14/03/2025 - DIPARTIMENTO SVILUPPO ECONOMICO DELLA CITTÀ E VIGILANZA EDILIZIA: PUBBLICAZIONE PROGETTO DI LIQUIDAZIONE USI CIVICI SU TERRENI DI PROPRIETA’ PRIVATA (FOGLIO 26 P.LLE 2060, 2063, 2278, 2280)|DIPARTIMENTO SVILUPPO ECONOMICO DELLA CITTÀ E VIGILANZA EDILIZIA|DETERMINE|247|14/03/2025
17/03/2025|01/04/2025|660|2025|DETERMINA N.248 DEL 14/03/2025 - DIPARTIMENTO GOVERNO DEL TERRITORIO: RACCOLTA LEGNA SECCA NEL TERRITORIO COMUNALE ALL’INTERNO DELLA RISERVA NATURALE DELLA MACCHIA DI GATTACECA E MACCHIA DEL BARCO AUTORIZZAZIONE N. CMRC-2025-0033250 N.O. 1686 CITTÀ METROPOLITANA DI ROMA CAPITALE|DIPARTIMENTO GOVERNO DEL TERRITORIO|DETERMINE|248|14/03/2025
17/03/2025|01/04/2025|661|2025|DETERMINA N.246 DEL 14/03/2025 - DIPARTIMENTO SVILUPPO ECONOMICO DELLA CITTÀ E VIGILANZA EDILIZIA: PUBBLICAZIONE PROGETTO DI LIQUIDAZIONE USI CIVICI SU TERRENI DI PROPRIETA’ PRIVATA (FOGLIO 27 P.LLA 675)|DIPARTIMENTO SVILUPPO ECONOMICO DELLA CITTÀ E VIGILANZA EDILIZIA|DETERMINE|246|14/03/2025
17/03/2025|01/04/2025|662|2025| AVVISO PROVE CONCORSO DIRIGENTE POLIZIA LOCALE|SERVIZIO PROGRAMMAZIONE, CONTROLLO, RISORSE UMANE (TRATTAMENTO GIURIDICO)|AVVISI||
17/03/2025|01/04/2025|663|2025|DETERMINA N.249 DEL 17/03/2025 - DIPARTIMENTO SERVIZI ALLA PERSONA: OGGETTO: APPROVAZIONE GRADUATORIA PROVVISORIA RELATIVA ALL'AMMISSIONE E  FREQUENZA ALLA SCUOLA COMUNALE  DELL'INFANZIA  R. BORELLI A.S. 2025-26 .|DIPARTIMENTO SERVIZI ALLA PERSONA|DETERMINE|249|17/03/2025
17/03/2025|01/04/2025|664|2025|DETERMINA N.250 DEL 17/03/2025 - DIPARTIMENTO ATTIVITA' ECONOMICO FINANZIARIE E AMMINISTRATIVE: IMPEGNO SPESA PER RIMBORSI SOMME VERSATE ALL'ENTE A TITOLO DI I.M.U. ANNO D'IMPOSTA 2018.|DIPARTIMENTO GOVERNO DEL TERRITORIO|DETERMINE|250|17/03/2025
17/03/2025|01/04/2025|665|2025|DETERMINA N.251 DEL 17/03/2025 - DIPARTIMENTO ATTIVITA' ECONOMICO FINANZIARIE E AMMINISTRATIVE: IMPEGNO SPESA PER RIVERSAMENTO SOMME ERRONEAMENTE VERSATE ALL'ENTE A TITOLO DI IMPOSTA MUNICIPALE PROPRIA - I.M.U.  ANNO 2020 - AL COMUNE DI  FONTE NUOVA (RM).|SERVIZIO SUPPORTO ORGANI ISTITUZIONALI, AFFARI LEGALI E SANITA'|DETERMINE|251|17/03/2025
